Year,Country,Predict_GoldMedals,Actual_GoldMedals,,New_Predict,,,host_effect
1908,"?London,?United Kingdom",25.91356164496392,56,,29.11356164,,,3.2
1912,"?Stockholm,?Sweden",14.049687651684508,24,,17.24968765,,,
1920,"?Antwerp,?Belgium",6.385519522533286,14,,9.585519523,,,
1924,"?Paris,?France",8.942196490708739,13,,12.14219649,,,
1928,"?Amsterdam,?Netherlands",3.9412528765387833,6,,7.141252877,,,
1932,"?Los Angeles,?United States",31.478317509870976,41,,34.67831751,,,
1936,"?Berlin,?Germany",5.021139153279364,33,,8.221139153,,,
1948,"?London,?United Kingdom",4.582644320558757,3,,7.782644321,,,
1952,"?Helsinki,?Finland",4.3546329501550645,6,,7.55463295,,,
1956,"?Melbourne,?Australia",7.153708713594824,13,,10.35370871,,,
1960,"?Rome,?Italy",9.553932804614305,13,,12.7539328,,,
1964,"?Tokyo,?Japan",10.527138541918248,16,,13.72713854,,,
1968,"?Mexico City,?Mexico",1.330685269786045,3,,4.53068527,,,
1972,"?Munich,?West Germany",2.6764706852845848,0,,5.876470685,,,
1976,"?Montreal,?Canada",0,0,,3.2,,,
1980,"?Moscow,?Soviet Union",46.935365019366145,80,,50.13536502,,,
1984,"?Los Angeles,?United States",34.5663003269583,82,,37.76630033,,,
1988,"?Seoul,?South Korea",6.804735614743549,12,,10.00473561,,,
1992,"?Barcelona,?Spain",6.042989337234758,13,,9.242989337,,,
1996,"?Atlanta,?United States",44.18241504067555,44,,47.38241504,,,
2000,"?Sydney,?Australia",11.833872339688241,16,,15.03387234,,,
2004,"?Athens,?Greece",3.7372251987690106,6,,6.937225199,,,
2008,"?Beijing,?China",19.046448215493,51,,22.24644822,,,
2012,"?London,?United Kingdom",21.997734779957682,29,,25.19773478,,,
2016,"?Rio de Janeiro,?Brazil",4.399336007714737,7,,7.599336008,,,
2020,"?Tokyo,?Japan (postponed to 2021 due to the coronavirus pandemic)",17.55738163855858,26,,20.75738164,,,
2024,"?Paris,?France",13.475015017203987,16,,16.67501502,,,
2028,"?Los Angeles,?United States",,,,,,,
2032,"?Brisbane,?Australia",,,,,,,
