,Predicted gold medals,Actual gold medals
AUS,2.651665189769119,2.0
BRA,0.21408275063731708,0.0
CAN,0.6406696557532996,0.0
DEN,3.245741150341928,5.0
FIN,4.599759830976836,6.0
FRA,7.961849187966436,10.0
GER,2.6947659668512642,0.0
GBR,4.797468896722421,3.0
HUN,7.283322960836813,10.0
IRI,0.22479535406455398,0.0
ITA,7.29639034322463,8.0
JPN,1.3236495757009834,0.0
NED,3.1146416042465717,5.0
NZL,0.503040102950763,0.0
KOR,0.2904174735303968,0.0
ESP,0.3298666165792383,0.0
USA,32.354064577724785,38.0
CHN,1.5665325382724404,0.0
ARG,1.8214666789863259,3.0
AUT,0.6877972040092573,1.0
BEL,1.4236056368390564,2.0
BUL,0.4431895504822023,0.0
CUB,0.6047678955947049,0.0
GRE,0.3049415935529396,0.0
IND,0.710984678909881,1.0
JAM,0.8583511188626289,1.0
MEX,0.8938428880064748,2.0
NOR,1.2194079814944416,1.0
POL,0.6531193200789858,0.0
POR,0.04859774303622544,0.0
ROU,0.5999887037323788,0.0
RSA,1.2917567763943225,2.0
SWE,10.136363694444299,16.0
SUI,3.4495125307003036,5.0
TUR,3.811296932573896,6.0
URS,3.19134570856113,0.0
RUS,1.294632283388637,0.0
