,Artistic Swimming,Diving,Marathon Swimming,Swimming,Water Polo,Archery,Athletics,Badminton,Baseball/Softball,3x3,Basketball,Basque Pelota,Boxing,Breaking,Canoe,Cricket,Croquet,Cycling,Equestrian,Fencing,Hockey,Flag football,Football,Golf,Gymnastics,Handball,Jeu De Paume,Judo,Karate,Lacrosse,Modern Pentathlon,Polo,Racquets,Roque,Coastal,Rowing,Rugby,Sailing,Shooting,Skateboarding,Sport Climbing,Squash,Surfing,Table Tennis,Taekwondo,Tennis,Triathlon,Tug-Of-War,Beach Volleyball,Volleyball,Motorboating,Weightlifting,Wrestling,Figure Skating,Ice Hockey
AUS,0,0.006884321,0,0.1254143,0.007622418,0.003811209,0.008196472,0,0,0,0,0,0,0,0.00768129,0,0,0.021642413,0.016350973,0,0.03065806,0,0,0,0,0,0,0,0,0,0.007622418,0,0,0,0,0.017756969,0.007622418,0.025772912,0.056612164,0.011452895,0,0,0,0,0.001905604,0.006871739,0.007622418,0,0.007622418,0,0,0,0,0,0
BRA,0,0,0.007622418,0.000476401,0,0,0.001578402,0,0,0,0,0,0,0,0.000952802,0,0,0,0.002540808,0,0,0,0.01527053,0,0.03252726,0,0,0.017973417,0,0,0,0,0,0,0,0,0,0.008918713,0.000725945,0,0,0,0.007622418,0,0,0,0,0,0.03065806,0.038406443,0,0,0,0,0
CAN,0.02290579,0,0,0.006145275,0,0,0.008310914,0,0,0,0,0,0,0,0.003612143,0,0,0.001542477,0.005090177,0,0,0,0.007622418,0,0.002549748,0,0,0.027897364,0,0.015244835,0,0,0,0,0,0.012099641,0,0,0.005390894,0,0,0,0,0,0,0.003811209,0.007622418,0,0,0,0,0.001088918,0.002655986,0,0
DEN,0,0.00304897,0,0.003253663,0,0,0,0.009179089,0,0,0,0,0,0,0.005585161,0,0,0.015366221,0,0.002177835,0,0,0.015244835,0,0.003811209,0.3267666,0,0,0,0,0,0,0,0,0,0.022965897,0,0.025164127,0.000725945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007622418,0,0
FIN,0,0,0,0,0,0,0.02480575,0,0,0,0,0,0,0,0.007741311,0,0,0,0,0,0,0,0,0,0.009591908,0,0,0,0,0,0,0,0,0,0,0,0,0.001385896,0.008304893,0,0,0,0,0,0,0,0,0,0,0,0,0.002177835,0.03970472,0,0
FRA,0,0,0,0.006032806,0.015244835,0.010453964,0.005446456,0,0,0,0,0,0,0,0.009435874,0,0,0.108618245,0.031592593,0.080262475,0,0,0,0,0.010198993,0.030596958,0,0.10780339,0,0,0,0,0,0,0,0.05034422,0.20923014,0.025413526,0.010060036,0,0,0,0.20923014,0,0.052307535,0.023330187,0.1394868,0,0,0.01527053,0,0.027652638,0.004213984,0,0
GER,0,0.038395464,0.007622418,0.010472361,0.015244835,0,0.015994567,0,0,0.20923014,0,0,0,0,0.10847352,0,0,0.021551859,0.38795176,0.014795196,0.03065806,0,0.007622418,0,0.018062985,0.015244835,0,0.003278246,0,0,0.02290579,0,0,0,0,0.045879047,0,0.008414169,0.016920965,0,0,0,0,0,0,0.008796904,0.007622418,0,0.2643548,0,0,0.014850489,0.004860831,0,0
GBR,0,0.003817633,0,0.02399506,0.045895454,0.010163232,0.042659193,0,0,0,0,0,0,0,0.004780773,0,0,0.047939055,0.25117776,0.002177835,0.04598711,0,0.03054106,0.007622418,0.038839407,0,0,0,0,0,0.02290579,0,0,0,0,0.0828403,0,0.07852283,0.055980045,0,0.10461507,0,0,0,0.0660887,0.031493288,0.025548397,0,0,0,0,0,0.005081616,0,0
HUN,0,0,0.20923014,0.033255156,0.100368485,0,0.004208752,0,0,0,0,0,0,0,0.0317692,0,0,0,0,0.15235946,0,0,0.045895454,0,0.014516324,0,0,0.001088918,0,0,0.3338072,0,0,0,0,0,0,0,0.017405182,0,0,0,0,0,0.052307535,0,0,0,0,0,0,0.001693872,0.01811139,0,0
IRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001016324,0,0,0,0,0,0.005736932,0,0,0,0,0,0,0.008339684,0.010668247,0,0
ITA,0,0.007635265,0,0.003271108,0.053651635,0.007635265,0.007639888,0,0,0,0,0,0,0,0.030363468,0,0,0.09855713,0.012920192,0.11717459,0,0,0.015244835,0,0.036215957,0,0,0.004306729,0,0,0,0,0,0,0,0.07963351,0,0.012859119,0.030782105,0,0,0,0,0,0.003817633,0.08369208,0,0,0,0.20923014,0,0.012216419,0.030489158,0,0
JPN,0,0,0,0.021852955,0,0,0.013702269,0.00304897,0.01527053,0,0,0,0,0,0,0,0,0,0.002540808,0.003817634,0,0,0,0,0.089736275,0,0,0.18597583,0,0,0,0,0,0,0,0,0,0,0,0.019088157,0,0,0,0.00304897,0,0,0,0,0,0.01527053,0,0.004363007,0.20048021,0,0
NED,0,0,0.20923014,0.015379704,0.007622418,0.001524485,0.003491974,0,0,0.20923014,0,0,0,0,0,0,0,0.07071814,0.026763558,0,0.053898428,0,0,0,0.003612143,0,0,0.010016861,0,0,0,0,0,0,0,0.07015513,0,0.0151938,0,0,0,0,0,0,0,0,0,0,0,0.007622418,0,0,0,0,0
