,Artistic Swimming,Diving,Marathon Swimming,Swimming,Water Polo,Archery,Athletics,Badminton,Baseball/Softball,3x3,Basketball,Basque Pelota,Boxing,Breaking,Canoe,Cricket,Croquet,Cycling,Equestrian,Fencing,Hockey,Flag football,Football,Golf,Gymnastics,Handball,Jeu De Paume,Judo,Karate,Lacrosse,Modern Pentathlon,Polo,Racquets,Roque,Coastal,Rowing,Rugby,Sailing,Shooting,Skateboarding,Sport Climbing,Squash,Surfing,Table Tennis,Taekwondo,Tennis,Triathlon,Tug-Of-War,Beach Volleyball,Volleyball,Motorboating,Weightlifting,Wrestling,Figure Skating,Ice Hockey
AUS,0.0,0.125,0,0.21875,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.07142857142857142,0,0.0,0.058823529411764705,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
BRA,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.18181818181818182,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.5,0.5,0,0.0,0.0,0,0
CAN,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0625,0,0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0,0.05555555555555555,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
DEN,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0,0.0,0,0,0.0,0,0,0,0.0,0.07142857142857142,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
FIN,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
FRA,0.0,0.0,0,0.03125,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.125,0,0,0.05555555555555555,0.16666666666666666,0.3,0.0,0.0,0.0,0,0.05555555555555555,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.07142857142857142,0,0.09090909090909091,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
GER,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.25,0,0,0.05555555555555555,0.16666666666666666,0.0,0.5,0.0,0.0,0,0.05555555555555555,0.0,0,0.07142857142857142,0,0,0.0,0,0,0,0.0,0.14285714285714285,0,0.0,0.11764705882352941,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
GBR,0.0,0.0,0,0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.1111111111111111,0.16666666666666666,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.07142857142857142,0,0.18181818181818182,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
HUN,0.0,0.0,0,0.0,0.5,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.1875,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.5,0,0,0,0.0,0.0,0,0.0,0.058823529411764705,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.05555555555555555,0,0
IRI,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.125,0.0,0.0,0,0.0,0.0,0,0.06666666666666667,0.0,0,0
